Species,Clade,Subspecies,Latitude,Longitude
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2019,-67.1668
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2019,-67.1668
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2019,-67.1668
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2019,-67.1668
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2019,-67.1668
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2019,-67.1668
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2019,-67.1668
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2019,-67.1668
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2019,-67.1668
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.2019,-67.1668
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.1871,-68.0602
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.1871,-68.0602
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.1871,-68.0602
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.1871,-68.0602
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.1871,-68.0602
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.1871,-68.0602
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.1871,-68.0602
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.1871,-68.0602
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.1871,-68.0602
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.1871,-68.0602
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.1871,-68.0602
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.1871,-68.0602
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.1871,-68.0602
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.1837,-68.5039
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.1825,-67.6802
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.1667,-67.8333
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.1667,-67.8333
